,Username,Konten,Lokasi
102,Disuruh_Iben,"Ma'ruf soal Cak Imin Usul Pilgub Dihapus: Biar Wacana Berkembang, Kita Ikuti - https://t.co/OGzeinmL2w - https://t.co/OGzeinmL2w https://t.co/SDicPcWiUL #IndonesiaKuat #BangkitBersama",Pulau Impian
103,akhmadsoderi2,@OposisiCerdas Cak Imin mau dikemanakan?,
104,dpwpkbjabar,"Satu abad NU, Cinta Ulama, Cinta Santri, Cinta NKRI. 🇮🇩
Pagi tadi PKB Jabar Ikut memeriahkan &amp; berkontribusi di acara Kirab 1 abad NU Kota Bandung.
#nu #1abadnu #gusmuhaimin #muhaiminiskandar #pkb #cakimin #syaifulhuda #acepjamaludin  #Bandung
@dpp_pkb @cakiminow  @syaifulhooda https://t.co/0WDYDWdXYa","Kota Bandung, Jawa Barat"
105,anngirayna,"Prabowo-Khofifah Dinilai Lebih Kompetitif Dibanding Cak Imin.

capres2024

pemilu2024

dekade08

terusmajubersamaprabowo

mendingprabowo",
106,ahmadhellishfau,#JokowiCakImin #JoinKepri2019 #NasionalisReligius FOLLOW | RETWEET | LIKE | KOMEN Jokowi-CakImin https://t.co/1dYV2Ufuy9,
107,chaidar_2000,@OposisiCerdas @KartikaPurbasa Cak imin nangiss,"Jakarta Barat, DKI Jakarta"
108,gaspoll2024,"Selamat memperingati Isra' Mi'raj Nabi Muhammad SAW.
18 Februari 2023

#gaspoll #GusMuhaiminAsikPoll #CakImin #isramiraj #2023M https://t.co/sY9Jm4rYmX","DKI Jakarta, Indonesia"
109,DPP_PKB,"Seperti yang dilakukan Ketua Umum (Ketum) DPP Partai Kebangkitan Bangsa (PKB) Abdul Muhaimin Iskandar alias Cak Imin dan pengurus DPP partai yang dipimpinnya mengirimkan bantuan untuk korban gempa bumi di Turki. Bantuan itu khususnya, di Kota Adana.",Jalan Raden Saleh No 9 Jakarta
110,DPP_PKB,"Cak Imin dan PKB Kirim Bantuan untuk Korban Gempa Turki, Adana Jadi Fokus

https://t.co/n5y18jBKeG",Jalan Raden Saleh No 9 Jakarta
111,Disuruh_Iben,Cak Imin Minta Pemerintah Perhatikan Masa Depan Santri - RMOL https://t.co/C5cfqDYYmn #IndonesiaKuat #BangkitBersama,Pulau Impian
112,DefanaYolanda,"Prabowo-Khofifah Dinilai Lebih Kompetitif Dibanding Cak Imin.

@prabowo

capres2024

pemilu2024

dekade08

terusmajubersamaprabowo

mendingprabowo",
113,anggraini_yura,"Prabowo-Khofifah Dinilai Lebih Kompetitif Dibanding Cak Imin.

@prabowo

capres2024

pemilu2024

dekade08

terusmajubersamaprabowo

mendingprabowo",
114,narsujshi,Barakallah.Cak Imin Raih Dukungan Teratas di Uji Kekuatan Elektoral NU dari SMRC https://t.co/5pmXoxpMSV,
115,gaspoll2024,"Cak Imin dan PKB Kirim Bantuan untuk Korban Gempa Turki, Adana Jadi Fokus

#gaspoll #GusMuhaiminAsikPoll https://t.co/6DsPc0V1DZ","DKI Jakarta, Indonesia"
116,Prajurit_ndeso,@nyak_ih_meutuah @DPP_PKB Waduh cak imin bisa ngambek,"Purwokerto Selatan, Indonesia "
117,mesuji_ilham,@cakimiNOW Alhamdulillah Mantap Cak Imin dan PKB,
118,STresnowat1,@AdhiTriePutra @aniesbaswedan @Dennysiregar7 @ch_chotimah2 Prabowo cak imin kah,Indonesia
119,ayub_elgenaro,"Cak Imin dan PKB Kirim Bantuan untuk Korban Gempa Turki, Adana Jadi Fokus https://t.co/dgl4Rq0j3v",
120,suaradotcom,"""Memang pilihan sulit bagi Prabowo. Pilih Cak Imin tapi peluang kalah terbuka. Tapi gandeng Khofifah nilai jualnya besar,""

https://t.co/HXX6pLmED7",Jakarta Capital Region
121,tonkrop,@z_soleh @DPP_PKB @cakimiNOW @Jazilul_Fawaid @SyaifulHooda @EmHasanuddin @masbams70 @masfaisolriza @dpwpkbjabar Sebaiknya cak imin dengan berbesar hati mundur dari ketum pkb supaya ada regenerasi kepemimpinan di tubuh pkb,
122,talijagad_id,@Jennifer_bogota @Asikirawan @AfifFuadS @DPP_PKB @cakimiNOW @Bambangelf Yg bingung itu kamu. Bingung dan putus asa mau jatuhin Cak Imin dan PKB gagal terus...,Indonesia
123,ahmadhellishfau,#JokowiCakImin #JoinKepri2019 #NasionalisReligius FOLLOW | RETWEET | LIKE | KOMEN Jokowi-CakImin https://t.co/LEdvORppHV,
124,miskiy28,"@setro_gm @calonbabeh @AfifFuadS @DPP_PKB @cakimiNOW Mestinya pake potonya cak imin sendiri aja, biar yg blm kenal jd kenal. Malah kl gitu bisa dianggap cak imin ga PD.",jakarta - pekalongan
125,hasandjimbe,@whyunesia Siap cak imin,"Yogyakarta, Indonesia"
126,Disuruh_Iben,Buku untuk Cak Imin akan Dikupas di 100 Kota: Calon Presiden Sibuk Serap Gagasan - https://t.co/OGzeinmL2w - https://t.co/OGzeinmL2w https://t.co/934PNQBxrl #IndonesiaKuat #BangkitBersama,Pulau Impian
