,Username,Konten,Lokasi
407,PutraAlamsyahJ1,"Waduh... Cak Imin Cak Imin...!!! 
#PKB #pkbuntukbangsa #satuabadnu #NahdlatulUlama #GusMuhaiminBerangkat #GusMuhaimin #Pilpres2024 https://t.co/qN1Ck05YLb",
408,mrivaldo1207,"cak imin tidak hadiri 1 abad Nu
#nahdhatululama 
#nahdhatululamaindonesia 
#nahdhatululama1abad 
#cakimin 
#cakiminpresiden2024 
#pkb https://t.co/fzMzWX8G8y",
409,andrikingo77,PKB ditangan Cak Imin tercabut dari NU karena berkhianat terhadap Gusdur #partaikebangkitanbangsa #nahdlatululama #satuabadNU #tidakhadir #pengkhianat #gusdur #politik https://t.co/49ZzPWKBvt,
410,dpwpkbdiy,"Rp 1 Miliar Masih Kecil, Cak Imin Yakin APBN Masih Sanggup Alokasikan Rp 5 Miliar Per Desa https://t.co/8eZJY6LLwi","Yogyakarta, Indonesia"
411,IDNTimes,"Didukung Kades se-Jatim Nyapres, Cak Imin Janji Beri Dana Desa Rp5 M https://t.co/4efrVSDHD5",
412,SedulurU,"Simulasi empat pasangan pilpres 2024

#prabowo #gusmuhaimin #cakimin #gusimin #gusmuhaiminpresiden2024 #pkb #pkbmojokerto https://t.co/gxIdexnK2H",
413,Sulisti60188128,@CakImin_Bulian @cakimiNOW 👍mantap,"Sumatera Selatan, Indonesia"
414,Aries_swd,"Lontaran PKB "" Cak Imin Harga Mati "" Setelah Pertemuan Prabowo - Khofifah , Menuai Tafsir Jika Pertemuan Tidak Menghasilkan Apa"", 
Ini Tentu Menjadi Hal Terbukanya Koalisi Perubahan Menggandeng Khofifah Agar Koalisi Perubahan Bisa Menguasai Jatim .

https://t.co/L4ARceGtct","Jawa Tengah, Indonesia"
415,fauzanfuadiFF,"Budal Gus!
@cakiminow

#Muhaiminiskandar 
#gusmuhaimin 
#cakimin 
#budalgus
#1pkb 
#pkb 
#pkbjatim 
#konkret https://t.co/d27wueHGD8",
416,Disuruh_Iben,Mati-matian Dorong Elektabilitas Airlangga dan Cak Imin - https://t.co/XyRg6gsE1C https://t.co/kYxgiO9JHr #PrabowoPeduli #BangkitBersama,Pulau Impian
417,Komunitas_98,Cak Imin Tak Ingin Komentari Pertemuan Prabowo dan Khofifah https://t.co/np90o1r1po,Jakarta - Indonesia
418,info_kita2,Cak Imin Tak Ingin Komentari Pertemuan Prabowo dan Khofifah https://t.co/14jFBUZ6hT,
419,CNNIndonesia,Sejumlah Kepala Daerah di Jatim Dukung Cak Imin Capres 2024 https://t.co/7826ckdZkO,
420,Zainul0104,"https://t.co/J6ehXlR546
#BudalGus
#GusMuhaiminBerangkat
Ketum PKB Muhaimin Iskandar mendapat mandat dari kades se-Jatim untuk maju capres 2024. Hal itu disampaikan saat Cak Imin bertemu dengan para kades di Blitar.",
421,malhamahkubro,@republikaonline ratusan juta pendukung2nya di 2019 aja ditinggalin apalagi cuma cak imin,
422,y_yumnan,"@alisyarief Dari Pilpres ke Pilpres Cak Imin mengejar posisi Capres, tapi tidak dapat. Kali ini pun rasanya hal yg sama akan terulang","Kota Surabaya, Jawa Timur"
423,Disuruh_Iben,"Airlangga Minta Cak Imin Segera Rampungkan Ciptaker, Menteri Perintah Anggota Dewan? - https://t.co/NyayxJHI0l - https://t.co/NyayxJHI0l https://t.co/RfLRJml1eO #PrabowoPeduli #BangkitBersama",Pulau Impian
424,Emerald72063957,@HidayatNatari Semoga cak imin tabah,
425,kumparan,Ketum PKB Muhaimin Iskandar alias Cak Imin menyebutkan akan lahir sebuah koalisi baru jelang Pemilu 2024. #newsupdate #update #news #text https://t.co/ORdLudGRmi,
426,beningnews,Cak Imin Pastikan Koalisi PKB-Gerindra Masih Solid https://t.co/QGdy4TMbWY,"Jakarta Capital Region, Indone"
427,Konfrontasi_co,Cak Imin Pastikan Koalisi PKB-Gerindra Masih Solid https://t.co/B47dUgrZ4M,Jakarta
428,liesschorry,"Rp 1 Miliar Masih Kecil, Cak Imin Yakin APBN Masih Sanggup Alokasikan Rp 5 Miliar Per Desa https://t.co/p0nWSnjFP1","Tanggamus, Lampung"
429,Disuruh_Iben,"Hasil Survei, Elektabilitas Cak Imin di Internal NU Belum ""Ngangkat"" - https://t.co/tRNS3ctLij https://t.co/XKUubIcdet #PrabowoPeduli #BangkitBersama",Pulau Impian
430,Manan70223539,Ratusan Kades di Jatim Beri Mandat Cak Imin Capres 2024 https://t.co/bkcbG3piJi,"Benjeng, Indonesia"
431,K0MENTAT0R,"@alisyarief Harusnya klean malu share hasil survey ini 😂, ini anis duet maut sama ahy aja kalah sama prabowo cak imin

Pendukung ganjar ga ada yang marah, malah kasian sama anies udah deklarasi, resmi didukung 3 parpol tapi mentok disitu saja 😂",OTW
432,inilahdotcom,Ketua Umum Partai Kebangkitan Bangsa (PKB) Muhaimin Iskandar (Cak Imin) memastikan koalisi dengan Partai Gerakan Indonesia Raya (Gerindra) masih tetap mesra meski Prabowo Subianto menggelar pertemuan tertutup dengan Gubernur Jawa Timur (Jatim) Khofifah… https://t.co/i5UGHgAusj,
433,mvtahfrd9,"@nahdiyinbersatu @pesantrenbima Oww. Jd ni akun minta bersatu sbg pansos pkb ya,,,, ingat ya. Ketua PBNU lbih wajib ditaati dan jg jgn lupakan kelakuan cak imin","Kota Yogyakarta, Yogyakarta"
434,BombanaSugianto,"Mandat tuk Cak Imin dalam rangka peningkatan kesejahteraan masyarakat
#BudalGus
#GusMuhaiminBerangkat

@cakimiNOW
@darampa1
@DPP_PKB https://t.co/VKA3HzuRBF","Bombana, Sulawesi Tenggara"
435,UmarSandi5,"@Alie_Fahnoor Betul, tp seunggul unggulnya khofifa,tetap kalh sama cak imin krn punya partai..","Kalimantan Timur, Indonesia"
436,gaspoll2024,"Galery Tasyakuran Satu Abad NU

#gaspoll #GusMuhaiminAsikPoll #CakImin #gallery #tasyakuran #satuabadNU https://t.co/nAwhMuKEiL","DKI Jakarta, Indonesia"
437,beritajatimcom,"Kepala Daerah Serahkan Mandat: Budal Gus Muhaimin!.

PKB menyerahkan mandat kepada Ketua Umum PKB Muhaimin Iskandar untuk maju sebagai calon presiden (capres) 2024. -- Ikuti kami di Google… https://t.co/wXn06lZyxx #PolitikPemerintahan #Cakimin #gusmuhaimin via @beritajatimcom",Surabaya
438,HerwinSP7,"Mandat tuk Cak Imin dalam rangka peningkatan kesejahteraan masyarakat
#BudalGus 
#GusMuhaiminBerangkat 

@cakimiNOW 
@darampa1 
@DPP_PKB https://t.co/TmIWquPqVy",
439,heraldindo,"Sejumlah Kepala Daerah di Jatim Beri Mandat Khusus ke Cak Imin, Apa Saja? https://t.co/34AXhFFEpY","Jakarta Selatan, DKI Jakarta"
440,Iwan37780374,"Semoga cak Imin slalu sehat, perjuangan Gus bagi desa dan masyarakat merupakan mandat untuk Indonesia https://t.co/f27dgrzgkm",
441,lebahdigital22,"Mandat Desa Untuk Indonesia 
#budalgus #mandatdesa #cakimin https://t.co/R2Bemt00ZT",
442,PutraErlangga95,Ingat Cak Imin dengan Kardus Durian 🤭,"Jakarta Pusat, DKI Jakarta"
443,ahmadhellishfau,#JokowiCakImin #JoinKepri2019 #NasionalisReligius FOLLOW | RETWEET | LIKE | KOMEN Jokowi-CakImin https://t.co/UwZnf3kBW9,
444,ahmadhellishfau,#JokowiCakImin #JoinKepri2019 #NasionalisReligius FOLLOW | RETWEET | LIKE | KOMEN Jokowi-CakImin https://t.co/BVop6cweSR,
445,pkbkuburaya,Cak Imin Terima Mandat dari Ratusan Kades se-Jatim di Pilpres 2024 https://t.co/YUGMfV5vX3 lewat @okezonenews,Kab. Kubu Raya Indonesia
446,yazid_fadhlan,@OposisiCerdas Cak imin mana mau... Bisa lari jg beliau k pak Paloh,"Agam, Sumatera Barat"
447,SusantiHoway_87,"Sukse Buat Cak Imin
#presiden2024 🙏🏼 https://t.co/vYXVx9xzIx",
448,macank739,"Rp 1 Miliar Masih Kecil, Cak Imin Yakin APBN Masih Sanggup Alokasikan Rp 5 Miliar Per Desa https://t.co/eBYbnZD9eT",Pringsewu
449,RUSLAN_YAKUSA,"https://t.co/L9lYt8sOAp…
#BudalGus
#GusMuhaiminBerangkat
Ketum PKB Muhaimin Iskandar mendapat mandat dari kades se-Jatim untuk maju capres 2024. Hal itu disampaikan saat Cak Imin bertemu dengan para kades di Blitar. https://t.co/QgyoDWlEPu","kendari, sulawesi tenggara"
450,WaspadaOnline,"Dana Desa Rp1 Miliar Kata Cak Imin Terlalu Kecil, Idealnya Rp5 Miliar! https://t.co/GLc8orYz3Z",Medan
451,Vivi53816567,"Rp 1 Miliar Masih Kecil, Cak Imin Yakin APBN Masih Sanggup Alokasikan Rp 5 Miliar Per Desa https://t.co/aENCYfL2M0",
452,AndiQuKha2,"Cak Imin untuk Indonesia

#BudalGus
#GusMuahaiminBerangkat 
@cakimiNOW https://t.co/t05PFWvpdV","Banggai, Indonesia"
453,edeezlm,Cak Imin Terima Mandat dari Ratusan Kades se-Jatim di Pilpres 2024 https://t.co/Lu13Ppq6do via @okezonenews,
454,edeezlm,"Cak Imin Terima Mandat dari Ratusan Kades se-Jatim di Pilpres 2024 https://t.co/Lu13Ppq6do via @okezonenews
#BudalGus 
#GusMuhaiminBerangkat",
455,salimpati1122,Gas cak imin.. https://t.co/5WqnwocZS8,Pati Jawa Tengah
456,Umar_Hasibuan__,"Yg terbaik insya Alloh diberikan Alloh Cak Imin 

https://t.co/9logajDQRv",DKI Jakarta
457,Ukimarz,@OposisiCerdas Terus cak imin piye .... ??,Jakarta
458,fahmi_bd,Beban Desa ngurus 3-5rb orang dgn cakupan lahan cukup luas dikasih Rp 1 Miliar ya kecil banget. Cak Imin Yakin APBN Masih Sanggup Alokasikan Rp 5 Miliar Per Desa https://t.co/zJazRcR8mC,
459,ThahaMuges,Doa cak Imin semoga dikabulkan oleh ALLAH https://t.co/sYdrahK7SM,
460,ahmadhellishfau,#JokowiCakImin #JoinKepri2019 #NasionalisReligius FOLLOW | RETWEET | LIKE | KOMEN Jokowi-CakImin https://t.co/QQfHxlrREc,
461,ahmadhellishfau,#JokowiCakImin #JoinKepri2019 #NasionalisReligius FOLLOW | RETWEET | LIKE | KOMEN Jokowi-CakImin https://t.co/hAVsWDXKMm,
462,ahmadhellishfau,#JokowiCakImin #JoinKepri2019 #NasionalisReligius FOLLOW | RETWEET | LIKE | KOMEN Jokowi-CakImin https://t.co/vxsM2r69a0,
463,ahmadhellishfau,#JokowiCakImin #JoinKepri2019 #NasionalisReligius FOLLOW | RETWEET | LIKE | KOMEN Jokowi-CakImin https://t.co/ElUCLRLSMu,
464,spec_politic,"Emangnya pohon beringin dapat menjadi tempat teduh untuk yang lain ya? 

@airlangga_hrt @cakimiNOW
@suryapaloh51 @syaikhu_ahmad
#Golkar #Nasdem #PKS #PKB #airlanggahartarto #suryapaloh #cakimin #ahmadsyaikhu https://t.co/VHYgTWOr1j",Jakarta Capital Region
465,nyak_ih_meutuah,Dari Cak Imin tersingkir entah kemana. @DPP_PKB,Indonesia
466,okezonenews,"Sebut Dana Desa Rp1 Miliar Terlalu Kecil, Cak Imin: Idealnya Rp5 Miliar! #LengkapCepatBeritanya #BeritaTerkini #Berita #News #BeritaNasional . https://t.co/OkTvwU9UJY",Jakarta
467,SaidaFathan,@cakimin https://t.co/g8zwC4ViE7,
468,dpwpkbjabar,"Pastikan RUU PPRT segera disahkan DPR 😉

#survey #politik #pemilu2024 #pilpres2024 #GusMuhaimin #MuhaiminIskandar #cakimin #syaifulhuda #ajamacepjamaludin #prt #art #uud #undangundang

@dpp_pkb @cakiminow @emhasanuddin @syaifulhooda @AcepJamaludin01 https://t.co/ZkbHmHf9qu","Kota Bandung, Jawa Barat"
469,antonsampit,@geloraco Lalu Cak Imin gimana? Kena prank?,"Central Borneo, Indonesia"
470,yazid_my,"Rp 1 Miliar Masih Kecil, Cak Imin Yakin APBN Masih Sanggup Alokasikan Rp 5 Miliar Per Desa
#BudalGus
#GusMuhaimin 
https://t.co/ZszJLCOW7w","Gresik, Indonesia"
471,MRois26543529,"Desa-Desa yg berada di pulau jawa timur memang Kece.... teruslah meng aspirasikan apa yg menjadi kebutuhan Desa...
Bravo....
#BudalGus 
#cakimin 
#pkbuntukbangsa https://t.co/agMhp6CVBk",
472,KilwaranyMYusuf,BaGus CAK IMIN 2024 https://t.co/ShjlGMSgjW,
473,Hasnawa42885669,Ketum PKB Cak Imin Terima Mandat Maju Capres 2024 dari Ratusan Kades Se-Jatim https://t.co/XBgBDPhTOU lewat @okezonenews,
474,green_manueke,"Mandat kepada cak imin
#BudalGus 
#GusMuhaiminBerangkat 

Budal Gus! Kepala Daerah Jatim Beri Mandat ke Muhaimin Nyapres di 2024 https://t.co/LwUSTThdZB",
475,Disuruh_Iben,"Serap Aspirasi Kades, Cak Imin Usul Dana Desa Naik jadi Rp5 M per Tahun | https://t.co/iB9b8JxWq6 - https://t.co/vZIWoTfBeY https://t.co/pc1296BLWz #PrabowoPeduli #BangkitBersama",Pulau Impian
476,Disuruh_Iben,"Cak Imin Tak Hadiri Acara 1 Abad NU, Muslim: Sudah Talak Tiga - RMOL https://t.co/5HRjnqpUIs #PrabowoPeduli #BangkitBersama",Pulau Impian
477,haelamarie,"Pertemuan Prabowo dan Khofifah, Cak Imin Akui Tak Tahu Maksudnya, Gerindra PKB Tetap Solid? - MSN https://t.co/uQNRaZifVm #PrabowoPeduli #BangkitBersama",Indonesia
478,rege_sarifudin,@BagusMuhaiminS1 @cakimiNOW @DPP_PKB @EmHasanuddin @zainul_munas Semoga Cak Imin.menjadi wakil presiden 2024.,
479,laode_musrifin,"Cak Imin menerima Mandat dari ratusan Kades se-Jatim di Pilpres 2024.
#BudalGus
#GusMuhsiminBetsngkat https://t.co/rcNORNlDW0",Buton Tengah
480,MasNasirudin,"Mandat daerah untuk Indonesia
#desa
#cakimin https://t.co/vOJeGYNu1F",
481,Thou_Pick,@BarikadeGusDur saya gak mo dukung pkb krn Cak Imin ketumnya...,
482,hallojakarta_,Cak Imin Tak Ingin Komentari Pertemuan Prabowo dan Khofifah https://t.co/IJkhBtDs8Q,"Jakarta, Indonesia"
483,info_kita2,Cak Imin Tak Ingin Komentari Pertemuan Prabowo dan Khofifah https://t.co/14jFBUZ6hT,
484,Komunitas_98,Cak Imin Tak Ingin Komentari Pertemuan Prabowo dan Khofifah https://t.co/np90o1r1po,Jakarta - Indonesia
485,ErwinLoebis77,"#BudalGus
#GusMuhaiminBerangkat
@cakimiNOW
@DPP_PKB
@FraksiPKB
@imansyukri 
@azzameldzikrie
@Brigade01Arwan1
Ratusan Kades di Jatim Beri Mandat Cak Imin Capres 2024 https://t.co/UuNppOWUL7",Medan
486,ambarwarieni1,@halimiskandarnu @GusIminMalang @yusradaridesa @cak imin @gusimin https://t.co/o7HhPJy5S4,
487,news_wanheart,"Temui Khofifah di Surabaya, Prabowo Imbangi Manuver Cak Imin ke KIB https://t.co/1PxNFWu51B",
488,TirtoID,"Cak Imin mengungkap akan bekerja semaksimal mungkin agar bisa menjadi presiden dan melaksanakan harapan yang diberikan oleh para kepala desa.

https://t.co/MLugg1f8AY",Indonesia
489,qiu_qiu66,"#BudalGus 
#cakimin 
#GusMuhaiminBerangkat https://t.co/BHry8w82p2","Pasuruan, Jawa Timur"
490,Abdul_Sengari,"cak imin mendapatkan mandat
#BudalGus 
#GusMuhaiminBerangkat https://t.co/GyTutEz6M9",
491,GusyaHirman3,"Ketum PKB Cak Imin Terima Mandat Maju Capres 2024 dari Ratusan Kades Se-Jatim https://t.co/dg1lopPV50… lewat @okezonenews 
#BudalGus 
#GusMuhaiminBerangkat https://t.co/qZE4A65JsF",
492,Ind4hMaharani,"@ch_chotimah2 @p3n7l7h @03__nakula 2024 msh misteri, bisa 2 atau 3 psg,, gk mgk Airlangga/golkar mau jd penonton😂 bs Prabowo- puan, Prabowo - ganjar, Ganjar- puan / puan - erto ( bila PDIP nekad ) , yg pst puan - Airlangga  plus cak imin wajib di cawapres😂 ngumet toh 2024😂","Denpasar Selatan, Indonesia"
493,Iya5Riya,"#budalgus #gusmuhaiminberangkat #nu  #gusmuhaimin #muhaiminiskandar  #pkb #cakimin #syaifulhuda #acepjamaludin  #desa #kades

@dpp_pkb @cakiminow  @syaifulhooda https://t.co/MAo4vpgP73",
494,Iya5Riya,"#budalgus #gusmuhaiminberangkat #nu  #gusmuhaimin #muhaiminiskandar  #pkb #cakimin #syaifulhuda #acepjamaludin  #desa #kades

@dpp_pkb @cakiminow  @syaifulhooda https://t.co/ocClh1yX19",
495,MuanArfa2022,"Mandat tuk Cak Imin dalam rangka peningkatan kesejahteraan masyarakat
#BudalGus 
#GusMuhaiminBerangkat 

@cakimiNOW 
@darampa1 
@DPP_PKB https://t.co/8oWt7cY1j6",
496,PutriZenala,"Maju bersama cak imin...
#BudalGus 
#gusmuhaimin 
#kendaljoss24",
497,aliando902,"Cak Imin
Gus Muhaimin
PKB nomor satu https://t.co/XJqIbO2nut",
498,heraldindo,"Bandingkan Bupati Lumajang, Sujiwo Tejo Sindir Vespa Cak Imin https://t.co/qKghbr4lpJ","Jakarta Selatan, DKI Jakarta"
499,CakImin_Bulian,"Kita berjuang bersama Gus Muhaimin 

#BudalGus 
#GusMuhaiminBerangkat 

@cakimiNOW https://t.co/MHmsXlomgk",
500,hatta_nulampung,Ratusan Kades di Jatim Beri Mandat Cak Imin Capres 2024 https://t.co/th45Zzjy09,PerumPolda2Lampung
